,OPCode,Effects
0,0x0,Stat_AC_vs_Damage_Type_Modifier
1,0x1,Stat_Attacks_Per_Round_Modifier
2,0x2,Cure_Sleep
3,0x3,State_Berserking
4,0x4,Cure_Berserking
5,0x5,Charm_Charm_Specific_Creature
6,0x6,Stat_Charisma_Modifier
7,0x7,Colour_Set_character_colours_by_Palette
8,0x8,Colour_Change_by_RGB
9,0x9,Colour_Glow_Pulse
10,0xA,Stat_Constitution_Modifier
11,0xB,Cure_Poison
12,0xC,HP_Damage
13,0xD,Death_Instant_Death
14,0xE,Graphics_Defrost
15,0xF,Stat_Dexterity_Modifier
16,0x10,State_Haste
17,0x11,HP_Current_HP_Modifier
18,0x12,HP_Maximum_HP_Modifier
19,0x13,Stat_Intelligence_Modifier
20,0x14,State_Invisibility
21,0x15,Stat_Lore_Modifier
22,0x16,Stat_Cumulative_Luck_Modifier
23,0x17,Stat_Morale_Modifier
24,0x18,State_Horror
25,0x19,State_Poison
26,0x1A,Item_Remove_Curse
27,0x1B,Stat_Acid_Resistance_Modifier
28,0x1C,Stat_Cold_Resistance_Modifier
29,0x1D,Stat_Electricity_Resistance_Modifier
30,0x1E,Stat_Fire_Resistance_Modifier
31,0x1F,Stat_Magic_Damage_Resistance_Modifier
32,0x20,Cure_Death_Raise_Dead
33,0x21,Stat_Save_vs_Death_Modifier
34,0x22,Stat_Save_vs_Wands_Modifier
35,0x23,Stat_Save_vs_Petrification_Polymorph_Modifier
36,0x24,Stat_Save_vs_Breath_Weapons_Modifier
37,0x25,Stat_Save_vs_Spells_Modifier
38,0x26,State_Silence
39,0x27,State_Unconsciousness
40,0x28,State_Slow
41,0x29,Graphics_Sparkle
42,0x2A,Spell_Wizard_Spell_Slots_Modifier
43,0x2B,Cure_Stone_to_Flesh
44,0x2C,Stat_Strength_Modifier
45,0x2D,State_Stun
46,0x2E,Cure_Stun_Unstun
47,0x2F,Cure_Invisibility
48,0x30,Cure_Silence_Vocalize
49,0x31,Stat_Wisdom_Modifier
50,0x32,Colour_Glow_by_RGB_Brief
51,0x33,Colour_Strong_Dark_by_RGB
52,0x34,Colour_Very_Bright_by_RGB
53,0x35,Empty
54,0x36,Stat_THAC0_Modifier
55,0x37,Death_Kill_Creature_Type
56,0x38,Alignment_Invert
57,0x39,Alignment_Change
58,0x3A,Cure_Dispellable_Effects_Dispel_Magic
59,0x3B,Stat_Stealth_Modifier
60,0x3C,Stat_Miscast_Magic
61,0x3D,Crash
62,0x3E,Spell_Priest_Spell_Slots_Modifier
63,0x3F,State_Infravision
64,0x40,State_Remove_Infravision
65,0x41,Overlay_Blur
66,0x42,Graphics_Transparency_Fade
67,0x43,Summon_Creature_Summoning
68,0x44,Summon_Unsummon_Creature
69,0x45,Protection_From_Detection_Non_Detection
70,0x46,Cure_Non_Detection
71,0x47,IDS_Sex_Change
72,0x48,IDS_Set_IDS_State
73,0x49,Damage_Mod
74,0x4A,State_Blindness
75,0x4B,Cure_Blindness
76,0x4C,State_Feeblemindedness
77,0x4D,Cure_Feeblemindedness
78,0x4E,State_Disease
79,0x4F,Cure_Disease
80,0x50,State_Deafness
81,0x51,Cure_Deafness
82,0x52,Set_AI_Script
83,0x53,Protection_From_Projectile_Weapon
84,0x54,Empty
85,0x55,Empty
86,0x56,Stat_Slashing_Resistance_Modifier
87,0x57,Stat_Crushing_Resistance_Modifier
88,0x58,Stat_Piercing_Resistance_Modifier
89,0x59,Stat_Missiles_Resistance_Modifier
90,0x5A,Stat_Open_Locks_Modifier
91,0x5B,Stat_Find_Traps_Modifier
92,0x5C,Stat_Pick_Pockets_Modifier
93,0x5D,Stat_Fatigue_Modifier
94,0x5E,Stat_Drunkenness_Modifier
95,0x5F,Stat_Tracking_Skill_Modifier
96,0x60,Stat_Level_Change
97,0x61,Stat_Exceptional_Strength_Modifier
98,0x62,HP_Regeneration
99,0x63,Spell_Effect_Duration_Modifier
100,0x64,Protection_from_Creature_Type
101,0x65,Protection_from_Opcode
102,0x66,Spell_Immunity_by_Power_Level
103,0x67,Text_Change_Name
104,0x68,Stat_Experience_Points
105,0x69,Stat_Gold
106,0x6A,Stat_Morale_Break_Modifier
107,0x6B,Portrait_Change
108,0x6C,Stat_Reputation
109,0x6D,State_Hold
110,0x6E,Empty
111,0x6F,Item_Create_Magical_Weapon
112,0x70,Item_Remove_Item
113,0x71,Empty
114,0x72,Empty
115,0x73,Detect_Alignment
116,0x74,State_Cure_Invisibility
117,0x75,Spell_Effect_Reveal_Area
118,0x76,Empty
119,0x77,Spell_Effect_Mirror_Image
120,0x78,Protection_from_Weapons
121,0x79,Empty
122,0x7A,Item_Create_Inventory_Item
123,0x7B,Item_Remove_Inventory_Item
124,0x7C,Spell_Effect_Teleport_Dimension_Door
125,0x7D,Spell_Effect_Unlock_Knock
126,0x7E,Stat_Movement_Modifier
127,0x7F,Summon_Monster_Summoning
128,0x80,State_Confusion
129,0x81,State_Aid
130,0x82,State_Bless
131,0x83,State_Positive_Chant
132,0x84,State_Raise_Strength_Constitution__Dexterity_Non_Cumulative
133,0x85,Spell_Effect_Luck_Non_Cumulative
134,0x86,State_Petrification
135,0x87,Graphics_Polymorph_into_Specific
136,0x88,State_Force_Visible
137,0x89,State_Negative_Chant
138,0x8A,Graphics_Character_Animation_Change
139,0x8B,Text_Display_String
140,0x8C,Graphics_Casting_Glow
141,0x8D,Graphics_Lighting_Effects
142,0x8E,Graphics_Display_Special_Effect_Icon
143,0x8F,Item_Create_Item_in_Slot
144,0x90,Button_Disable_Button
145,0x91,Spell_Disable_Spell_Casting_Abilities
146,0x92,Spell_Cast_Spell_at_Creature
147,0x93,Spell_Learn_Spell
148,0x94,Spell_Cast_Spell_at_Point
149,0x95,Identify
150,0x96,Spell_Effect_Find_Traps
151,0x97,Summon_Replace_Creature
152,0x98,Spell_Effect_Play_Movie
153,0x99,Overlay_Sanctuary
154,0x9A,Overlay_Entangle
155,0x9B,Overlay_Minor_Globe
156,0x9C,Overlay_Protection_from_Normal_Missiles_Cylinder
157,0x9D,State_Web_Effect
158,0x9E,Overlay_Grease
159,0x9F,Spell_Effect_Mirror_Image_Exact_Number
160,0xA0,Remove_Sanctuary
161,0xA1,Cure_Horror
162,0xA2,Cure_Hold
163,0xA3,Protection_Free_Action
164,0xA4,Cure_Drunkeness
165,0xA5,Spell_Effect_Pause_Target
166,0xA6,Stat_Magic_Resistance_Modifier
167,0xA7,Stat_THAC0_Modifier_with_Missile_Weapons
168,0xA8,Summon_Remove_Creature
169,0xA9,Graphics_Prevent_Special_Effect_Icon
170,0xAA,Graphics_Play_Damage_Animation
171,0xAB,Spell_Give_Ability
172,0xAC,Empty
173,0xAD,Stat_Poison_Resistance_Modifier
174,0xAE,Spell_Effect_Play_Sound_Effect
175,0xAF,State_Hold
176,0xB0,Stat_Movement_Modifier_II
177,0xB1,Use_EFF_File
178,0xB2,Spell_Effect_THAC0_vs_Creature_Type_Modifier
179,0xB3,Spell_Effect_Damage_vs_Creature_Type_Modifier
180,0xB4,Item_Can_t_Use_Item
181,0xB5,Item_Can_t_Use_Itemtype
182,0xB6,Item_Apply_Effect_Item
183,0xB7,Item_Apply_Effect_Itemtype
184,0xB8,Graphics_Passwall_Don_t_Jump
185,0xB9,State_Hold_II
186,0xBA,Script_MoveToArea
187,0xBB,Script_Store_Local_Variable
188,0xBC,Spell_Effect_Aura_Cleansing
189,0xBD,Stat_Casting_Time_Modifier
190,0xBE,Stat_Attack_Speed_Factor
191,0xBF,Spell_Casting_Level_Modifier
192,0xC0,Spell_Effect_Find_Familiar
193,0xC1,Spell_Effect_Invisible_Detection_by_Script
194,0xC2,Empty
195,0xC3,Unknown
196,0xC4,Unknown
197,0xC5,Empty
198,0xC6,Empty
199,0xC7,Empty
200,0xC8,Empty
201,0xC9,Empty
202,0xCA,Empty
203,0xCB,Empty
204,0xCC,Empty
205,0xCD,Empty
206,0xCE,Spell_Effect_Immunity_Spell
207,0xCF,Empty
208,0xD0,HP_Minimum_Limit
209,0xD1,Empty
210,0xD2,Spell_Effect_Stun_90HP
211,0xD3,Empty
212,0xD4,Empty
213,0xD5,Empty
214,0xD6,Empty
215,0xD7,Empty
216,0xD8,Empty
217,0xD9,Empty
218,0xDA,Protection_Stoneskin
219,0xDB,Empty
220,0xDC,Empty
221,0xDD,Empty
222,0xDE,Empty
223,0xDF,Empty
224,0xE0,Empty
225,0xE1,Empty
226,0xE2,Empty
227,0xE3,Empty
228,0xE4,Empty
229,0xE5,Empty
230,0xE6,Empty
231,0xE7,Empty
232,0xE8,Colour_Fade_from_Colour_RGB
233,0xE9,Graphics_Icewind_Visual_Spell_Hit
234,0xEA,HP_Cold_Damage
235,0xEB,Graphics_Icewind_Casting_Glow
236,0xEC,Chill_Touch
237,0xED,HP_Crushing_Damage
238,0xEE,Stat_Save_vs_all
239,0xEF,Cure_Slow_Poison
240,0xF0,Summon_Icewind_Summoning_Spell
241,0xF1,HP_Vampiric_Touch
242,0xF2,Graphics_Display_Creature_Overlay
243,0xF3,Summon_Icewind_Animate_Dead
244,0xF4,State_Positive_Prayer
245,0xF5,State_Negative_Prayer
246,0xF6,Summon_Icewind_Summoning_Spell_Mixed
247,0xF7,Beltyn_s_Burning_Blood
248,0xF8,Summon_Summon_Shadow_Monsters
249,0xF9,State_Positive_Recitation_state
250,0xFA,State_Negative_Recitation
251,0xFB,State_Hold_Lich_Touch
252,0xFC,State_Blinded_Sol_s_Searing_Orb
253,0xFD,Stat_AC_vs_Damage_Type_Modifier_II
254,0xFE,Removal_Effects_specified_by_Resource
255,0xFF,State_Salamander_Aura
256,0x100,Spell_Effect_Umber_Hulk_Gaze
257,0x101,Zombie_Lord_Aura
258,0x102,Protection_Immunity_Resource
259,0x103,Summon_Summon_Creature
260,0x104,Graphics_Animation_Removal
261,0x105,Protection_Immunity_Effect_and_Resource
262,0x106,Summon_Summon_Pomabs
263,0x107,Spell_Effect_Turn_Undead_Evil
264,0x108,Spell_Effect_Static_Charge
265,0x109,State_Cloak_of_Fear
266,0x10A,Stat_Movement_Modifier_forced
267,0x10B,Cure_Remove_Confusion
268,0x10C,Spell_Effect_Eye_of_the_Mind
269,0x10D,Spell_Effect_Eye_of_the_Sword
270,0x10E,Spell_Effect_Eye_of_the_Mage
271,0x10F,Spell_Effect_Eye_of_the_Venom
272,0x110,Spell_Effect_Eye_of_the_Spirit
273,0x111,Spell_Effect_Eye_of_the_Fortitude
274,0x112,Spell_Effect_Eye_of_the_Stone
275,0x113,Spell_Effect_Remove_Seven_Eyes
276,0x114,Spell_Effect_Remove_Effects_of_Type
277,0x115,HP_Magic_Damage_Soul_Eater
278,0x116,Spell_Effect_Shroud_of_Flame
279,0x117,Spell_Effect_Animal_Rage
280,0x118,Spell_Effect_Turn_Undead
281,0x119,Spell_Effect_Vitriolic_Sphere
282,0x11A,HP_Suppress_HP_Info
283,0x11B,Text_Float_Text
284,0x11C,Spell_Effect_Mace_of_Disruption
285,0x11D,State_Sleep_forced
286,0x11E,Spell_Effect_Ranger_Tracking
287,0x11F,Protection_Backstab
